TimeStamp,,,,TimeStamp,,Specification,Unit,Value
17:19:20.449 -> The value of current in ma : 0.00,,,,19:20.4,->,current,ma,0
17:19:20.576 -> The value of current in ma : 0.00,,,,19:20.6,->,current,ma,0
17:19:20.718 -> The value of current in ma : 0.00,,,,19:20.7,->,current,ma,0
17:19:20.814 -> The value of current in ma : 12.23,,,,19:20.8,->,current,ma,12.23
17:19:20.955 -> The value of current in ma : 0.00,,,,19:21.0,->,current,ma,0
17:19:21.034 -> The value of current in ma : 10.48,,,,19:21.0,->,current,ma,10.48
17:19:21.176 -> The value of current in ma : 0.00,,,,19:21.2,->,current,ma,0
17:19:21.320 -> The value of current in ma : 0.00,,,,19:21.3,->,current,ma,0
17:19:21.415 -> The value of current in ma : 10.51,,,,19:21.4,->,current,ma,10.51
17:19:21.557 -> The value of current in ma : 0.00,,,,19:21.6,->,current,ma,0
17:19:21.652 -> The value of current in ma : 0.00,,,,19:21.7,->,current,ma,0
17:19:21.793 -> The value of current in ma : 0.00,,,,19:21.8,->,current,ma,0
17:19:21.921 -> The value of current in ma : 0.00,,,,19:21.9,->,current,ma,0
17:19:22.540 -> The value of current in ma : 0.00,,,,19:22.5,->,current,ma,0
17:19:22.636 -> The value of current in ma : 12303.52,,,,19:22.6,->,current,ma,12303.52
17:19:22.780 -> The value of current in ma : 8824.43,,,,19:22.8,->,current,ma,8824.43
17:19:22.858 -> The value of current in ma : 8778.35,,,,19:22.9,->,current,ma,8778.35
17:19:22.985 -> The value of current in ma : 8824.43,,,,19:23.0,->,current,ma,8824.43
17:19:23.126 -> The value of current in ma : 8847.47,,,,19:23.1,->,current,ma,8847.47
17:19:23.221 -> The value of current in ma : 8732.27,,,,19:23.2,->,current,ma,8732.27
17:19:23.362 -> The value of current in ma : 8778.35,,,,19:23.4,->,current,ma,8778.35
17:19:23.504 -> The value of current in ma : 8755.31,,,,19:23.5,->,current,ma,8755.31
17:19:23.616 -> The value of current in ma : 8778.35,,,,19:23.6,->,current,ma,8778.35
17:19:23.710 -> The value of current in ma : 8755.31,,,,19:23.7,->,current,ma,8755.31
17:19:23.852 -> The value of current in ma : 8755.31,,,,19:23.9,->,current,ma,8755.31
17:19:23.994 -> The value of current in ma : 8847.47,,,,19:24.0,->,current,ma,8847.47
17:19:24.089 -> The value of current in ma : 8801.39,,,,19:24.1,->,current,ma,8801.39
17:19:24.183 -> The value of current in ma : 8755.31,,,,19:24.2,->,current,ma,8755.31
17:19:24.324 -> The value of current in ma : 8732.27,,,,19:24.3,->,current,ma,8732.27
17:19:24.465 -> The value of current in ma : 8755.31,,,,19:24.5,->,current,ma,8755.31
17:19:24.560 -> The value of current in ma : 8801.39,,,,19:24.6,->,current,ma,8801.39
17:19:24.733 -> The value of current in ma : 8755.31,,,,19:24.7,->,current,ma,8755.31
17:19:24.816 -> The value of current in ma : 8778.35,,,,19:24.8,->,current,ma,8778.35
17:19:24.953 -> The value of current in ma : 8755.31,,,,19:25.0,->,current,ma,8755.31
17:19:25.048 -> The value of current in ma : 8801.39,,,,19:25.0,->,current,ma,8801.39
17:19:25.190 -> The value of current in ma : 8778.35,,,,19:25.2,->,current,ma,8778.35
17:19:25.285 -> The value of current in ma : 8778.35,,,,19:25.3,->,current,ma,8778.35
17:19:25.426 -> The value of current in ma : 8732.27,,,,19:25.4,->,current,ma,8732.27
17:19:25.536 -> The value of current in ma : 8801.39,,,,19:25.5,->,current,ma,8801.39
17:19:25.683 -> The value of current in ma : 8755.31,,,,19:25.7,->,current,ma,8755.31
17:19:25.806 -> The value of current in ma : 8732.27,,,,19:25.8,->,current,ma,8732.27
17:19:25.901 -> The value of current in ma : 8755.31,,,,19:25.9,->,current,ma,8755.31
17:19:26.027 -> The value of current in ma : 8778.35,,,,19:26.0,->,current,ma,8778.35
17:19:26.144 -> The value of current in ma : 8732.27,,,,19:26.1,->,current,ma,8732.27
17:19:26.279 -> The value of current in ma : 8732.27,,,,19:26.3,->,current,ma,8732.27
17:19:26.375 -> The value of current in ma : 8755.31,,,,19:26.4,->,current,ma,8755.31
17:19:26.516 -> The value of current in ma : 8755.31,,,,19:26.5,->,current,ma,8755.31
17:19:26.658 -> The value of current in ma : 8732.27,,,,19:26.7,->,current,ma,8732.27
17:19:26.753 -> The value of current in ma : 8686.19,,,,19:26.8,->,current,ma,8686.19
17:19:26.895 -> The value of current in ma : 8709.23,,,,19:26.9,->,current,ma,8709.23
17:19:27.005 -> The value of current in ma : 8755.31,,,,19:27.0,->,current,ma,8755.31
17:19:27.100 -> The value of current in ma : 8755.31,,,,19:27.1,->,current,ma,8755.31
17:19:27.243 -> The value of current in ma : 8732.27,,,,19:27.2,->,current,ma,8732.27
17:19:27.387 -> The value of current in ma : 8709.23,,,,19:27.4,->,current,ma,8709.23
17:19:27.481 -> The value of current in ma : 8755.31,,,,19:27.5,->,current,ma,8755.31
17:19:27.624 -> The value of current in ma : 8732.27,,,,19:27.6,->,current,ma,8732.27
17:19:27.719 -> The value of current in ma : 8755.31,,,,19:27.7,->,current,ma,8755.31
17:19:27.860 -> The value of current in ma : 8801.39,,,,19:27.9,->,current,ma,8801.39
17:19:27.955 -> The value of current in ma : 8709.23,,,,19:28.0,->,current,ma,8709.23
17:19:28.097 -> The value of current in ma : 8755.31,,,,19:28.1,->,current,ma,8755.31
17:19:28.190 -> The value of current in ma : 8686.19,,,,19:28.2,->,current,ma,8686.19
17:19:28.331 -> The value of current in ma : 8778.35,,,,19:28.3,->,current,ma,8778.35
17:19:28.472 -> The value of current in ma : 8709.23,,,,19:28.5,->,current,ma,8709.23
17:19:28.567 -> The value of current in ma : 8732.27,,,,19:28.6,->,current,ma,8732.27
17:19:28.709 -> The value of current in ma : 8778.35,,,,19:28.7,->,current,ma,8778.35
17:19:28.802 -> The value of current in ma : 8755.31,,,,19:28.8,->,current,ma,8755.31
17:19:28.943 -> The value of current in ma : 8732.27,,,,19:28.9,->,current,ma,8732.27
17:19:29.037 -> The value of current in ma : 8778.35,,,,19:29.0,->,current,ma,8778.35
17:19:29.177 -> The value of current in ma : 8755.31,,,,19:29.2,->,current,ma,8755.31
17:19:29.273 -> The value of current in ma : 8755.31,,,,19:29.3,->,current,ma,8755.31
17:19:29.446 -> The value of current in ma : 8755.31,,,,19:29.4,->,current,ma,8755.31
17:19:29.539 -> The value of current in ma : 8755.31,,,,19:29.5,->,current,ma,8755.31
17:19:29.680 -> The value of current in ma : 8732.27,,,,19:29.7,->,current,ma,8732.27
17:19:29.774 -> The value of current in ma : 8755.31,,,,19:29.8,->,current,ma,8755.31
17:19:29.916 -> The value of current in ma : 8732.27,,,,19:29.9,->,current,ma,8732.27
17:19:30.010 -> The value of current in ma : 8732.27,,,,19:30.0,->,current,ma,8732.27
17:19:30.150 -> The value of current in ma : 8732.27,,,,19:30.2,->,current,ma,8732.27
17:19:30.292 -> The value of current in ma : 8778.35,,,,19:30.3,->,current,ma,8778.35
17:19:30.388 -> The value of current in ma : 8755.31,,,,19:30.4,->,current,ma,8755.31
17:19:30.529 -> The value of current in ma : 8709.23,,,,19:30.5,->,current,ma,8709.23
17:19:30.624 -> The value of current in ma : 8709.23,,,,19:30.6,->,current,ma,8709.23
17:19:30.767 -> The value of current in ma : 8824.43,,,,19:30.8,->,current,ma,8824.43
17:19:30.862 -> The value of current in ma : 8709.23,,,,19:30.9,->,current,ma,8709.23
17:19:30.989 -> The value of current in ma : 8709.23,,,,19:31.0,->,current,ma,8709.23
17:19:31.131 -> The value of current in ma : 8732.27,,,,19:31.1,->,current,ma,8732.27
17:19:31.226 -> The value of current in ma : 8709.23,,,,19:31.2,->,current,ma,8709.23
17:19:31.369 -> The value of current in ma : 8755.31,,,,19:31.4,->,current,ma,8755.31
17:19:31.464 -> The value of current in ma : 8755.31,,,,19:31.5,->,current,ma,8755.31
17:19:31.607 -> The value of current in ma : 8755.31,,,,19:31.6,->,current,ma,8755.31
17:19:31.701 -> The value of current in ma : 8709.23,,,,19:31.7,->,current,ma,8709.23
17:19:31.828 -> The value of current in ma : 8778.35,,,,19:31.8,->,current,ma,8778.35
17:19:31.970 -> The value of current in ma : 8709.23,,,,19:32.0,->,current,ma,8709.23
17:19:32.066 -> The value of current in ma : 8732.27,,,,19:32.1,->,current,ma,8732.27
17:19:32.209 -> The value of current in ma : 8709.23,,,,19:32.2,->,current,ma,8709.23
17:19:32.354 -> The value of current in ma : 8732.27,,,,19:32.4,->,current,ma,8732.27
17:19:32.447 -> The value of current in ma : 8732.27,,,,19:32.4,->,current,ma,8732.27
17:19:32.589 -> The value of current in ma : 8824.43,,,,19:32.6,->,current,ma,8824.43
17:19:32.699 -> The value of current in ma : 8732.27,,,,19:32.7,->,current,ma,8732.27
17:19:32.793 -> The value of current in ma : 8755.31,,,,19:32.8,->,current,ma,8755.31
17:19:32.933 -> The value of current in ma : 8732.27,,,,19:32.9,->,current,ma,8732.27
17:19:33.074 -> The value of current in ma : 8755.31,,,,19:33.1,->,current,ma,8755.31
17:19:33.168 -> The value of current in ma : 8709.23,,,,19:33.2,->,current,ma,8709.23
17:19:33.309 -> The value of current in ma : 8732.27,,,,19:33.3,->,current,ma,8732.27
17:19:33.403 -> The value of current in ma : 8801.39,,,,19:33.4,->,current,ma,8801.39
17:19:33.547 -> The value of current in ma : 8732.27,,,,19:33.5,->,current,ma,8732.27
17:19:33.638 -> The value of current in ma : 8686.19,,,,19:33.6,->,current,ma,8686.19
17:19:33.765 -> The value of current in ma : 8686.19,,,,19:33.8,->,current,ma,8686.19
17:19:33.907 -> The value of current in ma : 8755.31,,,,19:33.9,->,current,ma,8755.31
17:19:34.048 -> The value of current in ma : 8640.11,,,,19:34.0,->,current,ma,8640.11
17:19:34.143 -> The value of current in ma : 8732.27,,,,19:34.1,->,current,ma,8732.27
17:19:34.286 -> The value of current in ma : 8755.31,,,,19:34.3,->,current,ma,8755.31
17:19:34.390 -> The value of current in ma : 8709.23,,,,19:34.4,->,current,ma,8709.23
17:19:34.525 -> The value of current in ma : 8686.19,,,,19:34.5,->,current,ma,8686.19
