TimeStamp,,,,TimeStamp,,Specification,Value,Unit
16:10:59.619 -> Flow rate: 66.67 L/m,,,,10:59.6,->,Flow rate:,66.67,L/m
16:10:59.689 -> Flow rate: 66.67 L/m,,,,10:59.7,->,Flow rate:,66.67,L/m
16:10:59.784 -> Flow rate: 66.67 L/m,,,,10:59.8,->,Flow rate:,66.67,L/m
16:10:59.877 -> Flow rate: 66.67 L/m,,,,10:59.9,->,Flow rate:,66.67,L/m
16:10:59.973 -> Flow rate: 66.67 L/m,,,,11:00.0,->,Flow rate:,66.67,L/m
16:11:00.067 -> Flow rate: 66.67 L/m,,,,11:00.1,->,Flow rate:,66.67,L/m
16:11:00.209 -> Flow rate: 66.67 L/m,,,,11:00.2,->,Flow rate:,66.67,L/m
16:11:00.304 -> Flow rate: 66.67 L/m,,,,11:00.3,->,Flow rate:,66.67,L/m
16:11:00.401 -> Flow rate: 66.67 L/m,,,,11:00.4,->,Flow rate:,66.67,L/m
16:11:00.493 -> Flow rate: 66.67 L/m,,,,11:00.5,->,Flow rate:,66.67,L/m
16:11:00.587 -> Flow rate: 66.67 L/m,,,,11:00.6,->,Flow rate:,66.67,L/m
16:11:00.681 -> Flow rate: 66.67 L/m,,,,11:00.7,->,Flow rate:,66.67,L/m
16:11:00.776 -> Flow rate: 66.67 L/m,,,,11:00.8,->,Flow rate:,66.67,L/m
16:11:00.872 -> Flow rate: 66.67 L/m,,,,11:00.9,->,Flow rate:,66.67,L/m
16:11:00.966 -> Flow rate: 66.67 L/m,,,,11:01.0,->,Flow rate:,66.67,L/m
16:11:01.106 -> Flow rate: 66.67 L/m,,,,11:01.1,->,Flow rate:,66.67,L/m
16:11:01.200 -> Flow rate: 66.67 L/m,,,,11:01.2,->,Flow rate:,66.67,L/m
16:11:01.296 -> Flow rate: 66.67 L/m,,,,11:01.3,->,Flow rate:,66.67,L/m
16:11:01.391 -> Flow rate: 66.67 L/m,,,,11:01.4,->,Flow rate:,66.67,L/m
16:11:01.485 -> Flow rate: 66.67 L/m,,,,11:01.5,->,Flow rate:,66.67,L/m
16:11:01.579 -> Flow rate: 58.33 L/m,,,,11:01.6,->,Flow rate:,58.33,L/m
16:11:01.673 -> Flow rate: 66.67 L/m,,,,11:01.7,->,Flow rate:,66.67,L/m
16:11:01.767 -> Flow rate: 58.33 L/m,,,,11:01.8,->,Flow rate:,58.33,L/m
16:11:01.908 -> Flow rate: 58.33 L/m,,,,11:01.9,->,Flow rate:,58.33,L/m
16:11:02.002 -> Flow rate: 66.67 L/m,,,,11:02.0,->,Flow rate:,66.67,L/m
16:11:02.095 -> Flow rate: 58.33 L/m,,,,11:02.1,->,Flow rate:,58.33,L/m
16:11:02.189 -> Flow rate: 58.33 L/m,,,,11:02.2,->,Flow rate:,58.33,L/m
16:11:02.283 -> Flow rate: 58.33 L/m,,,,11:02.3,->,Flow rate:,58.33,L/m
16:11:02.377 -> Flow rate: 58.33 L/m,,,,11:02.4,->,Flow rate:,58.33,L/m
16:11:02.470 -> Flow rate: 58.33 L/m,,,,11:02.5,->,Flow rate:,58.33,L/m
16:11:02.564 -> Flow rate: 58.33 L/m,,,,11:02.6,->,Flow rate:,58.33,L/m
16:11:02.705 -> Flow rate: 50.00 L/m,,,,11:02.7,->,Flow rate:,50,L/m
16:11:02.801 -> Flow rate: 58.33 L/m,,,,11:02.8,->,Flow rate:,58.33,L/m
16:11:02.896 -> Flow rate: 50.00 L/m,,,,11:02.9,->,Flow rate:,50,L/m
16:11:02.990 -> Flow rate: 50.00 L/m,,,,11:03.0,->,Flow rate:,50,L/m
16:11:03.069 -> Flow rate: 58.33 L/m,,,,11:03.1,->,Flow rate:,58.33,L/m
16:11:03.162 -> Flow rate: 58.33 L/m,,,,11:03.2,->,Flow rate:,58.33,L/m
16:11:03.273 -> Flow rate: 58.33 L/m,,,,11:03.3,->,Flow rate:,58.33,L/m
16:11:03.368 -> Flow rate: 66.67 L/m,,,,11:03.4,->,Flow rate:,66.67,L/m
16:11:03.464 -> Flow rate: 66.67 L/m,,,,11:03.5,->,Flow rate:,66.67,L/m
16:11:03.605 -> Flow rate: 66.67 L/m,,,,11:03.6,->,Flow rate:,66.67,L/m
16:11:03.700 -> Flow rate: 58.33 L/m,,,,11:03.7,->,Flow rate:,58.33,L/m
16:11:03.795 -> Flow rate: 66.67 L/m,,,,11:03.8,->,Flow rate:,66.67,L/m
16:11:03.890 -> Flow rate: 66.67 L/m,,,,11:03.9,->,Flow rate:,66.67,L/m
16:11:03.986 -> Flow rate: 66.67 L/m,,,,11:04.0,->,Flow rate:,66.67,L/m
16:11:04.082 -> Flow rate: 66.67 L/m,,,,11:04.1,->,Flow rate:,66.67,L/m
