TimeStamp,Unit,,,TimeStamp,,Values
16:10:58.301 -> 0.0,kPa,,,10:58.3,->,0
16:10:58.444 -> 0.0,kPa,,,10:58.4,->,0
16:10:58.538 -> 0.0,kPa,,,10:58.5,->,0
16:10:58.633 -> 0.0,kPa,,,10:58.6,->,0
16:10:58.729 -> -1.9,kPa,,,10:58.7,->,-1.9
16:10:58.823 -> -1.9,kPa,,,10:58.8,->,-1.9
16:10:58.917 -> -1.9,kPa,,,10:58.9,->,-1.9
16:10:59.011 -> -1.9,kPa,,,10:59.0,->,-1.9
16:10:59.104 -> 21.5,kPa,,,10:59.1,->,21.5
16:10:59.246 -> 66.4,kPa,,,10:59.2,->,66.4
16:10:59.342 -> 97.7,kPa,,,10:59.3,->,97.7
16:10:59.437 -> 97.7,kPa,,,10:59.4,->,97.7
16:10:59.531 -> 97.7,kPa,,,10:59.5,->,97.7
16:10:59.641 -> 95.7,kPa,,,10:59.6,->,95.7
16:10:59.736 -> 97.7,kPa,,,10:59.7,->,97.7
16:10:59.831 -> 97.7,kPa,,,10:59.8,->,97.7
16:10:59.925 -> 97.7,kPa,,,10:59.9,->,97.7
16:11:00.020 -> 99.6,kPa,,,11:00.0,->,99.6
16:11:00.115 -> 97.7,kPa,,,11:00.1,->,97.7
16:11:00.257 -> 97.7,kPa,,,11:00.3,->,97.7
16:11:00.352 -> 97.7,kPa,,,11:00.4,->,97.7
16:11:00.446 -> 97.7,kPa,,,11:00.4,->,97.7
16:11:00.540 -> 97.7,kPa,,,11:00.5,->,97.7
16:11:00.650 -> 95.7,kPa,,,11:00.7,->,95.7
16:11:00.744 -> 95.7,kPa,,,11:00.7,->,95.7
16:11:00.824 -> 95.7,kPa,,,11:00.8,->,95.7
16:11:00.919 -> 95.7,kPa,,,11:00.9,->,95.7
16:11:01.059 -> 95.7,kPa,,,11:01.1,->,95.7
16:11:01.153 -> 95.7,kPa,,,11:01.2,->,95.7
16:11:01.248 -> 95.7,kPa,,,11:01.2,->,95.7
16:11:01.344 -> 95.7,kPa,,,11:01.3,->,95.7
16:11:01.438 -> 89.9,kPa,,,11:01.4,->,89.9
16:11:01.533 -> 86.0,kPa,,,11:01.5,->,86
16:11:01.634 -> 84.0,kPa,,,11:01.6,->,84
16:11:01.720 -> 82.1,kPa,,,11:01.7,->,82.1
16:11:01.861 -> 80.1,kPa,,,11:01.9,->,80.1
16:11:01.955 -> 80.1,kPa,,,11:02.0,->,80.1
16:11:02.048 -> 76.2,kPa,,,11:02.0,->,76.2
16:11:02.142 -> 72.3,kPa,,,11:02.1,->,72.3
16:11:02.236 -> 74.3,kPa,,,11:02.2,->,74.3
16:11:02.330 -> 74.3,kPa,,,11:02.3,->,74.3
16:11:02.423 -> 74.3,kPa,,,11:02.4,->,74.3
16:11:02.564 -> 72.3,kPa,,,11:02.6,->,72.3
16:11:02.673 -> 66.4,kPa,,,11:02.7,->,66.4
16:11:02.772 -> 58.6,kPa,,,11:02.8,->,58.6
16:11:02.864 -> 56.7,kPa,,,11:02.9,->,56.7
16:11:02.959 -> 60.6,kPa,,,11:03.0,->,60.6
16:11:03.053 -> 70.3,kPa,,,11:03.1,->,70.3
16:11:03.147 -> 76.2,kPa,,,11:03.1,->,76.2
16:11:03.241 -> 80.1,kPa,,,11:03.2,->,80.1
16:11:03.336 -> 87.9,kPa,,,11:03.3,->,87.9
16:11:03.432 -> 91.8,kPa,,,11:03.4,->,91.8
16:11:03.543 -> 93.8,kPa,,,11:03.5,->,93.8
16:11:03.637 -> 93.8,kPa,,,11:03.6,->,93.8
16:11:03.732 -> 95.7,kPa,,,11:03.7,->,95.7
16:11:03.875 -> 97.7,kPa,,,11:03.9,->,97.7
16:11:03.970 -> 95.7,kPa,,,11:04.0,->,95.7
16:11:04.050 -> 95.7,kPa,,,11:04.1,->,95.7
16:11:04.145 -> 95.7,kPa,,,11:04.1,->,95.7
16:11:04.239 -> 95.7,kPa,,,11:04.2,->,95.7
16:11:04.349 -> 95.7,kPa,,,11:04.3,->,95.7
16:11:04.443 -> 95.7,kPa,,,11:04.4,->,95.7
