TimeStamp,,,,TimeStamp,,Values_At_45
17:19:22.968 -> 0.0170.00,,,,19:23.0,->,0.0170.00
17:19:23.064 -> 0.0172.00,,,,19:23.1,->,0.0172.00
17:19:23.205 -> 3.9191.00,,,,19:23.2,->,3.9191.00
17:19:23.299 -> 41.0203.00,,,,19:23.3,->,41.0203.00
17:19:23.394 -> 64.5209.00,,,,19:23.4,->,64.5209.00
17:19:23.488 -> 76.2210.00,,,,19:23.5,->,76.2210.00
17:19:23.585 -> 78.2210.00,,,,19:23.6,->,78.2210.00
17:19:23.679 -> 78.2210.00,,,,19:23.7,->,78.2210.00
17:19:23.772 -> 78.2210.00,,,,19:23.8,->,78.2210.00
17:19:23.915 -> 78.2210.00,,,,19:23.9,->,78.2210.00
17:19:24.010 -> 78.2211.00,,,,19:24.0,->,78.2211.00
17:19:24.105 -> 80.1210.00,,,,19:24.1,->,80.1210.00
17:19:24.199 -> 78.2210.00,,,,19:24.2,->,78.2210.00
17:19:24.292 -> 78.2210.00,,,,19:24.3,->,78.2210.00
17:19:24.387 -> 78.2209.00,,,,19:24.4,->,78.2209.00
17:19:24.481 -> 76.2209.00,,,,19:24.5,->,76.2209.00
17:19:24.577 -> 76.2209.00,,,,19:24.6,->,76.2209.00
17:19:24.718 -> 76.2210.00,,,,19:24.7,->,76.2210.00
17:19:24.816 -> 78.2210.00,,,,19:24.8,->,78.2210.00
17:19:24.906 -> 78.2211.00,,,,19:24.9,->,78.2211.00
17:19:25.000 -> 80.1211.00,,,,19:25.0,->,80.1211.00
17:19:25.095 -> 80.1211.00,,,,19:25.1,->,80.1211.00
17:19:25.190 -> 80.1209.00,,,,19:25.2,->,80.1209.00
17:19:25.285 -> 76.2209.00,,,,19:25.3,->,76.2209.00
17:19:25.427 -> 76.2209.00,,,,19:25.4,->,76.2209.00
17:19:25.536 -> 76.2209.00,,,,19:25.5,->,76.2209.00
17:19:25.616 -> 76.2208.00,,,,19:25.6,->,76.2208.00
17:19:25.711 -> 74.3207.00,,,,19:25.7,->,74.3207.00
17:19:25.806 -> 72.3204.00,,,,19:25.8,->,72.3204.00
17:19:25.901 -> 66.4201.00,,,,19:25.9,->,66.4201.00
17:19:25.996 -> 60.6198.00,,,,19:26.0,->,60.6198.00
17:19:26.090 -> 54.7195.00,,,,19:26.1,->,54.7195.00
17:19:26.232 -> 48.9196.00,,,,19:26.2,->,48.9196.00
17:19:26.326 -> 50.8196.00,,,,19:26.3,->,50.8196.00
17:19:26.422 -> 50.8196.00,,,,19:26.4,->,50.8196.00
17:19:26.516 -> 50.8197.00,,,,19:26.5,->,50.8197.00
17:19:26.611 -> 52.8199.00,,,,19:26.6,->,52.8199.00
17:19:26.706 -> 56.7201.00,,,,19:26.7,->,56.7201.00
17:19:26.802 -> 60.6202.00,,,,19:26.8,->,60.6202.00
17:19:26.895 -> 62.5204.00,,,,19:26.9,->,62.5204.00
17:19:27.037 -> 66.4205.00,,,,19:27.0,->,66.4205.00
17:19:27.132 -> 68.4204.00,,,,19:27.1,->,68.4204.00
17:19:27.227 -> 66.4205.00,,,,19:27.2,->,66.4205.00
17:19:27.324 -> 68.4205.00,,,,19:27.3,->,68.4205.00
17:19:27.418 -> 68.4205.00,,,,19:27.4,->,68.4205.00
17:19:27.513 -> 68.4205.00,,,,19:27.5,->,68.4205.00
17:19:27.608 -> 68.4205.00,,,,19:27.6,->,68.4205.00
17:19:27.751 -> 68.4207.00,,,,19:27.8,->,68.4207.00
17:19:27.844 -> 72.3208.00,,,,19:27.8,->,72.3208.00
17:19:27.939 -> 74.3209.00,,,,19:27.9,->,74.3209.00
17:19:28.034 -> 76.2209.00,,,,19:28.0,->,76.2209.00
17:19:28.128 -> 76.2209.00,,,,19:28.1,->,76.2209.00
17:19:28.222 -> 76.2209.00,,,,19:28.2,->,76.2209.00
17:19:28.315 -> 76.2209.00,,,,19:28.3,->,76.2209.00
17:19:28.457 -> 76.2210.00,,,,19:28.5,->,76.2210.00
17:19:28.551 -> 78.2210.00,,,,19:28.6,->,78.2210.00
17:19:28.646 -> 78.2210.00,,,,19:28.6,->,78.2210.00
17:19:28.740 -> 78.2209.00,,,,19:28.7,->,78.2209.00
17:19:28.834 -> 76.2210.00,,,,19:28.8,->,76.2210.00
17:19:28.928 -> 78.2211.00,,,,19:28.9,->,78.2211.00
17:19:29.021 -> 80.1210.00,,,,19:29.0,->,80.1210.00
17:19:29.162 -> 78.2211.00,,,,19:29.2,->,78.2211.00
17:19:29.256 -> 80.1211.00,,,,19:29.3,->,80.1211.00
17:19:29.351 -> 80.1210.00,,,,19:29.4,->,80.1210.00
17:19:29.446 -> 78.2210.00,,,,19:29.4,->,78.2210.00
17:19:29.539 -> 78.2210.00,,,,19:29.5,->,78.2210.00
17:19:29.633 -> 78.2209.00,,,,19:29.6,->,78.2209.00
17:19:29.727 -> 76.2207.00,,,,19:29.7,->,76.2207.00
17:19:29.869 -> 72.3207.00,,,,19:29.9,->,72.3207.00
17:19:29.963 -> 72.3208.00,,,,19:30.0,->,72.3208.00
