TimeStamp,Unit,,,TimeStamp,,Values_60
16:30:18.455 -> 0.0,kPa,,,30:18.5,->,0
16:30:18.595 -> 2.0,kPa,,,30:18.6,->,2
16:30:18.689 -> 0.0,kPa,,,30:18.7,->,0
16:30:18.783 -> 2.0,kPa,,,30:18.8,->,2
16:30:19.674 -> 0.0,kPa,,,30:19.7,->,0
16:30:19.768 -> 0.0,kPa,,,30:19.8,->,0
16:30:19.861 -> 0.0,kPa,,,30:19.9,->,0
16:30:20.002 -> 25.4,kPa,,,30:20.0,->,25.4
16:30:20.143 -> 39.1,kPa,,,30:20.1,->,39.1
16:30:20.189 -> 50.8,kPa,,,30:20.2,->,50.8
16:30:20.283 -> 50.8,kPa,,,30:20.3,->,50.8
16:30:20.393 -> 52.8,kPa,,,30:20.4,->,52.8
16:30:20.502 -> 52.8,kPa,,,30:20.5,->,52.8
16:30:20.596 -> 54.7,kPa,,,30:20.6,->,54.7
16:30:20.690 -> 50.8,kPa,,,30:20.7,->,50.8
16:30:20.784 -> 52.8,kPa,,,30:20.8,->,52.8
16:30:20.877 -> 54.7,kPa,,,30:20.9,->,54.7
16:30:20.971 -> 54.7,kPa,,,30:21.0,->,54.7
16:30:21.065 -> 54.7,kPa,,,30:21.1,->,54.7
16:30:21.206 -> 54.7,kPa,,,30:21.2,->,54.7
16:30:21.299 -> 52.8,kPa,,,30:21.3,->,52.8
16:30:21.409 -> 52.8,kPa,,,30:21.4,->,52.8
16:30:21.502 -> 50.8,kPa,,,30:21.5,->,50.8
16:30:21.596 -> 50.8,kPa,,,30:21.6,->,50.8
16:30:21.737 -> 52.8,kPa,,,30:21.7,->,52.8
16:30:21.784 -> 52.8,kPa,,,30:21.8,->,52.8
16:30:21.878 -> 52.8,kPa,,,30:21.9,->,52.8
16:30:21.972 -> 52.8,kPa,,,30:22.0,->,52.8
16:30:22.112 -> 50.8,kPa,,,30:22.1,->,50.8
16:30:22.206 -> 52.8,kPa,,,30:22.2,->,52.8
16:30:22.300 -> 52.8,kPa,,,30:22.3,->,52.8
16:30:22.394 -> 52.8,kPa,,,30:22.4,->,52.8
16:30:22.503 -> 50.8,kPa,,,30:22.5,->,50.8
16:30:22.613 -> 48.9,kPa,,,30:22.6,->,48.9
16:30:22.706 -> 46.9,kPa,,,30:22.7,->,46.9
16:30:22.800 -> 48.9,kPa,,,30:22.8,->,48.9
16:30:22.910 -> 50.8,kPa,,,30:22.9,->,50.8
16:30:23.003 -> 52.8,kPa,,,30:23.0,->,52.8
16:30:23.097 -> 52.8,kPa,,,30:23.1,->,52.8
16:30:23.191 -> 48.9,kPa,,,30:23.2,->,48.9
16:30:23.285 -> 48.9,kPa,,,30:23.3,->,48.9
16:30:23.394 -> 48.9,kPa,,,30:23.4,->,48.9
16:30:23.488 -> 50.8,kPa,,,30:23.5,->,50.8
16:30:23.582 -> 48.9,kPa,,,30:23.6,->,48.9
16:30:23.723 -> 48.9,kPa,,,30:23.7,->,48.9
16:30:23.816 -> 50.8,kPa,,,30:23.8,->,50.8
16:30:23.926 -> 52.8,kPa,,,30:23.9,->,52.8
16:30:24.020 -> 52.8,kPa,,,30:24.0,->,52.8
16:30:24.113 -> 50.8,kPa,,,30:24.1,->,50.8
16:30:24.207 -> 50.8,kPa,,,30:24.2,->,50.8
16:30:24.301 -> 48.9,kPa,,,30:24.3,->,48.9
16:30:24.394 -> 50.8,kPa,,,30:24.4,->,50.8
16:30:24.489 -> 52.8,kPa,,,30:24.5,->,52.8
16:30:24.630 -> 52.8,kPa,,,30:24.6,->,52.8
16:30:24.724 -> 52.8,kPa,,,30:24.7,->,52.8
16:30:24.802 -> 50.8,kPa,,,30:24.8,->,50.8
16:30:24.896 -> 52.8,kPa,,,30:24.9,->,52.8
16:30:24.989 -> 52.8,kPa,,,30:25.0,->,52.8
16:30:25.083 -> 52.8,kPa,,,30:25.1,->,52.8
16:30:25.224 -> 50.8,kPa,,,30:25.2,->,50.8
16:30:25.318 -> 52.8,kPa,,,30:25.3,->,52.8
16:30:25.411 -> 52.8,kPa,,,30:25.4,->,52.8
16:30:25.505 -> 52.8,kPa,,,30:25.5,->,52.8
16:30:25.614 -> 54.7,kPa,,,30:25.6,->,54.7
16:30:25.708 -> 50.8,kPa,,,30:25.7,->,50.8
16:30:25.802 -> 52.8,kPa,,,30:25.8,->,52.8
16:30:25.896 -> 50.8,kPa,,,30:25.9,->,50.8
16:30:25.990 -> 52.8,kPa,,,30:26.0,->,52.8
16:30:26.131 -> 52.8,kPa,,,30:26.1,->,52.8
16:30:26.225 -> 50.8,kPa,,,30:26.2,->,50.8
16:30:26.318 -> 52.8,kPa,,,30:26.3,->,52.8
16:30:26.412 -> 50.8,kPa,,,30:26.4,->,50.8
16:30:26.506 -> 52.8,kPa,,,30:26.5,->,52.8
16:30:26.599 -> 52.8,kPa,,,30:26.6,->,52.8
16:30:26.693 -> 50.8,kPa,,,30:26.7,->,50.8
16:30:26.834 -> 50.8,kPa,,,30:26.8,->,50.8
