TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:19.094 -> The value of current in ma : 0.00,,,,19:19.1,->,current ,ma,0
14:19:19.205 -> The value of current in ma : 0.00,,,,19:19.2,->,current ,ma,0
14:19:25.869 -> The value of current in ma : 0.00,,,,19:25.9,->,current ,ma,0
14:19:25.964 -> The value of current in ma : 0.00,,,,19:26.0,->,current ,ma,0
14:19:26.105 -> The value of current in ma : 10083.25,,,,19:26.1,->,current ,ma,10083.25
14:19:26.247 -> The value of current in ma : 7810.66,,,,19:26.2,->,current ,ma,7810.66
14:19:26.342 -> The value of current in ma : 8110.18,,,,19:26.3,->,current ,ma,8110.18
14:19:26.482 -> The value of current in ma : 8110.18,,,,19:26.5,->,current ,ma,8110.18
14:19:26.577 -> The value of current in ma : 8202.35,,,,19:26.6,->,current ,ma,8202.35
14:19:26.718 -> The value of current in ma : 8133.23,,,,19:26.7,->,current ,ma,8133.23
14:19:26.813 -> The value of current in ma : 8087.14,,,,19:26.8,->,current ,ma,8087.14
14:19:26.955 -> The value of current in ma : 8041.06,,,,19:27.0,->,current ,ma,8041.06
14:19:27.050 -> The value of current in ma : 8110.18,,,,19:27.1,->,current ,ma,8110.18
14:19:27.192 -> The value of current in ma : 8018.02,,,,19:27.2,->,current ,ma,8018.02
14:19:27.287 -> The value of current in ma : 8064.10,,,,19:27.3,->,current ,ma,8064.1
14:19:27.429 -> The value of current in ma : 8064.10,,,,19:27.4,->,current ,ma,8064.1
14:19:27.571 -> The value of current in ma : 8133.23,,,,19:27.6,->,current ,ma,8133.23
14:19:27.665 -> The value of current in ma : 8018.02,,,,19:27.7,->,current ,ma,8018.02
14:19:27.807 -> The value of current in ma : 8064.10,,,,19:27.8,->,current ,ma,8064.1
14:19:27.902 -> The value of current in ma : 8087.14,,,,19:27.9,->,current ,ma,8087.14
14:19:28.044 -> The value of current in ma : 8156.27,,,,19:28.0,->,current ,ma,8156.27
14:19:28.187 -> The value of current in ma : 8041.06,,,,19:28.2,->,current ,ma,8041.06
14:19:28.281 -> The value of current in ma : 8087.14,,,,19:28.3,->,current ,ma,8087.14
