TimeStamp,Unit,,,TimeStamp,,Values
14:19:17.298 -> 0.0,kPa,,,19:17.3,->,0
14:19:17.375 -> 0.0,kPa,,,19:17.4,->,0
14:19:17.468 -> 0.0,kPa,,,19:17.5,->,0
14:19:17.563 -> 0.0,kPa,,,19:17.6,->,0
14:19:17.704 -> 0.0,kPa,,,19:17.7,->,0
14:19:17.799 -> -1.9,kPa,,,19:17.8,->,-1.9
14:19:17.893 -> -1.9,kPa,,,19:17.9,->,-1.9
14:19:17.988 -> -1.9,kPa,,,19:18.0,->,-1.9
14:19:18.082 -> 0.0,kPa,,,19:18.1,->,0
14:19:19.689 -> 0.0,kPa,,,19:19.7,->,0
14:19:19.776 -> 0.0,kPa,,,19:19.8,->,0
14:19:19.871 -> 0.0,kPa,,,19:19.9,->,0
14:19:20.012 -> 0.0,kPa,,,19:20.0,->,0
14:19:20.106 -> 0.0,kPa,,,19:20.1,->,0
14:19:20.181 -> -1.9,kPa,,,19:20.2,->,-1.9
14:19:20.280 -> -1.9,kPa,,,19:20.3,->,-1.9
14:19:20.375 -> 0.0,kPa,,,19:20.4,->,0
14:19:20.516 -> -1.9,kPa,,,19:20.5,->,-1.9
14:19:20.610 -> -1.9,kPa,,,19:20.6,->,-1.9
14:19:20.704 -> 0.0,kPa,,,19:20.7,->,0
14:19:20.782 -> 0.0,kPa,,,19:20.8,->,0
14:19:20.916 -> 0.0,kPa,,,19:20.9,->,0
14:19:21.005 -> -1.9,kPa,,,19:21.0,->,-1.9
14:19:21.089 -> -1.9,kPa,,,19:21.1,->,-1.9
14:19:21.210 -> 0.0,kPa,,,19:21.2,->,0
14:19:21.274 -> -1.9,kPa,,,19:21.3,->,-1.9
14:19:21.417 -> 0.0,kPa,,,19:21.4,->,0
14:19:21.511 -> 0.0,kPa,,,19:21.5,->,0
14:19:21.605 -> -1.9,kPa,,,19:21.6,->,-1.9
14:19:21.702 -> 0.0,kPa,,,19:21.7,->,0
14:19:21.782 -> -1.9,kPa,,,19:21.8,->,-1.9
14:19:21.912 -> 0.0,kPa,,,19:21.9,->,0
14:19:22.007 -> -1.9,kPa,,,19:22.0,->,-1.9
14:19:22.102 -> -1.9,kPa,,,19:22.1,->,-1.9
14:19:22.198 -> -1.9,kPa,,,19:22.2,->,-1.9
14:19:22.293 -> 0.0,kPa,,,19:22.3,->,0
14:19:22.387 -> -1.9,kPa,,,19:22.4,->,-1.9
14:19:24.112 -> 0.0,kPa,,,19:24.1,->,0
14:19:24.208 -> 0.0,kPa,,,19:24.2,->,0
14:19:24.494 -> 0.0,kPa,,,19:24.5,->,0
14:19:24.638 -> -1.9,kPa,,,19:24.6,->,-1.9
14:19:24.713 -> 0.0,kPa,,,19:24.7,->,0
14:19:24.844 -> -1.9,kPa,,,19:24.8,->,-1.9
14:19:24.939 -> 0.0,kPa,,,19:24.9,->,0
14:19:25.032 -> -1.9,kPa,,,19:25.0,->,-1.9
14:19:25.127 -> -1.9,kPa,,,19:25.1,->,-1.9
14:19:25.207 -> -1.9,kPa,,,19:25.2,->,-1.9
14:19:25.307 -> 0.0,kPa,,,19:25.3,->,0
14:19:25.412 -> 0.0,kPa,,,19:25.4,->,0
